ticker,rv_current,rv_percentile,rv_52w_min,rv_52w_max,rv_20,rv_60,rv_term_structure,atr_pct,atr_pct_percentile,expansion_ratio,expansion_tier,adv_30d,adv_90d,close_price,last_date,cv_30,range_rel_20,volume_spike_180,is_compressed,is_deal_pending,is_straddle_candidate,rank_rv_pct,rank_atr_pct,rank_term_structure,borda_score,borda_rank,name,type,market_cap,next_earnings_date,days_to_earnings
FNB,27.23,44.71,22.33,38.75,20.65,22.91,0.902,2.022,7.14,1.42,INSUFFICIENT,5488412,7104601,17.63,2026-05-26,0.01464,0.01925,6.13,False,False,False,,,,,,F.N.B. Corp,Common Stock,6275643904.0,2026-07-16,50.0
PATH,58.34,44.84,32.26,79.85,49.8,56.53,0.881,5.767,60.32,1.37,INSUFFICIENT,30002630,31745052,11.09,2026-05-26,0.03487,0.05259,4.94,False,False,False,,,,,,Uipath Inc,Common Stock,5688446464.0,2026-06-03,7.0
CPRI,47.48,45.24,40.33,86.14,42.1,40.66,1.035,4.174,38.1,1.81,INSUFFICIENT,2634763,3038066,18.5,2026-05-26,0.06853,0.04026,4.61,False,False,False,,,,,,Capri Holdings Ltd,Common Stock,2202111232.0,2026-05-27,0.0
AVGO,40.89,45.24,31.01,68.07,40.68,41.56,0.979,3.974,60.32,1.66,INSUFFICIENT,19550014,24299611,422.01,2026-05-26,0.02931,0.03435,7.24,False,False,False,,,,,,Broadcom Inc,Common Stock,1998077427712.0,2026-06-03,7.0
MLCO,45.11,45.37,34.77,50.17,38.81,34.99,1.109,3.281,29.76,1.11,INSUFFICIENT,2054174,2236573,5.53,2026-05-26,0.0373,0.03423,5.01,False,False,False,,,,,,Melco Resorts & Entertainment Ltd,Common Stock,2133662080.0,2026-07-30,64.0
KRC,34.24,45.37,20.18,38.82,33.56,31.38,1.069,2.859,0.0,1.13,INSUFFICIENT,1795414,2117615,34.47,2026-05-26,0.04546,0.0288,3.24,False,False,False,,,,,,Kilroy Realty Corp,Common Stock,4047204352.0,2026-07-27,61.0
HALO,34.73,45.5,22.35,64.04,33.74,31.35,1.076,3.914,88.89,1.84,INSUFFICIENT,1664914,1726148,68.72,2026-05-26,0.03224,0.03549,6.94,False,False,False,,,,,,Halozyme Therapeutics Inc,Common Stock,8151085568.0,2026-08-04,69.0
BABA,40.07,45.5,36.69,59.01,48.89,43.18,1.132,4.368,96.03,1.47,INSUFFICIENT,11545295,11305494,129.47,2026-05-26,0.03139,0.02753,4.66,False,False,False,,,,,,Alibaba Group Holding Ltd,Common Stock,311887429632.0,,
UGI,27.22,45.63,16.7,27.22,37.96,27.85,1.363,2.754,32.54,1.0,INSUFFICIENT,2054344,1999719,35.86,2026-05-26,0.04638,0.02646,4.1,False,False,False,,,,,,UGI Corporation,Common Stock,7688158720.0,2026-08-05,70.0
TMC,96.18,45.77,87.67,148.52,84.08,81.87,1.027,7.408,26.98,1.54,INSUFFICIENT,5577326,6970139,5.63,2026-05-26,0.05947,0.06645,5.57,False,False,False,,,,,,TMC the metals company Inc,Common Stock,3085312000.0,,
MTCH,36.09,45.9,23.25,40.82,33.93,31.45,1.079,3.341,54.76,1.13,INSUFFICIENT,3655996,4865106,35.95,2026-05-26,0.03055,0.03148,21.89,False,False,False,,,,,,Match Group Inc,Common Stock,8385931776.0,2026-08-04,69.0
BMRN,29.77,45.9,25.89,39.45,41.74,32.17,1.297,3.417,78.57,1.33,INSUFFICIENT,1989020,2063315,52.88,2026-05-26,0.02774,0.03347,9.02,False,False,False,,,,,,Biomarin Pharmaceutical Inc,Common Stock,10220880896.0,2026-08-03,68.0
RF,26.7,46.03,22.1,37.68,23.02,22.85,1.007,2.241,9.13,1.41,INSUFFICIENT,10144576,13324736,28.25,2026-05-26,0.02077,0.02149,4.28,False,False,False,,,,,,Regions Financial Corporation,Common Stock,24107970560.0,2026-07-17,51.0
PLUG,94.86,46.3,80.8,129.68,104.11,96.15,1.083,9.487,59.52,1.37,INSUFFICIENT,85821295,88382376,3.84,2026-05-26,0.09604,0.09223,5.5,False,False,False,,,,,,Plug Power Inc,Common Stock,5357065216.0,2026-08-10,75.0
PAGP,19.61,46.43,14.12,34.01,23.03,21.31,1.081,2.517,1.98,1.73,INSUFFICIENT,1922003,2000441,25.51,2026-05-26,0.04327,0.02287,2.53,False,False,False,,,,,,Plains GP Holdings LP,Common Stock,6046361600.0,2026-08-07,72.0
